pair,predicate,requested_selectivities,low,high,selected_rows,actual_selectivity,ranges
16,50pct,0.500,1441376220,1442297100,1250,0.50000000,1
17,0.1pct,0.001,1442224380,1442224380,1,0.00088731,1
17,1pct,0.010,1442222880,1442226480,11,0.00976043,1
17,10pct,0.100,1442164380,1442248500,112,0.09937888,1
17,50pct,0.500,1441976940,1442383740,563,0.49955634,1
18,0.1pct,0.001,1442020260,1442020560,2,0.00080160,1
18,1pct,0.010,1442011860,1442032860,24,0.00961924,1
18,10pct,0.100,1441969140,1442076060,249,0.09979960,1
18,50pct,0.500,1441398180,1442293260,1247,0.49979960,1
19,0.1pct,0.001,1427369873,1427374073,15,0.00094328,1
19,1pct,0.010,1427348273,1427395673,159,0.00999874,1
19,10pct,0.100,1427133773,1427610473,1590,0.09998742,1
19,50pct,0.500,1426179473,1428564473,7951,0.50000000,1
20,0.1pct,0.001,1427359373,1427363573,15,0.00094751,1
20,1pct,0.010,1427337773,1427384873,158,0.00998042,1
20,10pct,0.100,1427124173,1427598773,1583,0.09999368,1
20,50pct,0.500,1426174373,1428548573,7915,0.49996842,1
21,0.1pct,0.001,1427369873,1427374073,15,0.00094328,1
21,1pct,0.010,1427348273,1427395673,159,0.00999874,1
21,10pct,0.100,1427133773,1427610473,1590,0.09998742,1
21,50pct,0.500,1426179473,1428564473,7951,0.50000000,1
22,0.1pct,0.001,1427362673,1427366873,15,0.00094619,1
22,1pct,0.010,1427341073,1427388173,158,0.00996657,1
22,10pct,0.100,1427127173,1427602373,1585,0.09998108,1
22,50pct,0.500,1426175873,1428553373,7926,0.49996846,1
23,0.1pct,0.001,1427359673,1427363873,15,0.00094739,1
23,1pct,0.010,1427338073,1427385173,158,0.00997916,1
23,10pct,0.100,1427124473,1427599073,1583,0.09998105,1
23,50pct,0.500,1426174373,1428548873,7916,0.49996842,1
24,0.1pct,0.001,1427360873,1427365073,15,0.00094685,1
24,1pct,0.010,1427339573,1427386673,158,0.00997349,1
24,10pct,0.100,1427125673,1427600573,1584,0.09998738,1
24,50pct,0.500,1426174973,1428550973,7921,0.50000000,1
25,0.1pct,0.001,1427368673,1427372873,15,0.00094381,1
25,1pct,0.010,1427347073,1427394173,158,0.00994148,1
25,10pct,0.100,1427132573,1427608973,1589,0.09998112,1
25,50pct,0.500,1426178873,1428562373,7946,0.49996854,1
26,0.1pct,0.001,1427362373,1427366573,15,0.00094631,1
26,1pct,0.010,1427340773,1427387873,158,0.00996783,1
26,10pct,0.100,1427126873,1427602073,1585,0.09999369,1
26,50pct,0.500,1426175873,1428553073,7925,0.49996846,1
27,0.1pct,0.001,1427363273,1427367473,15,0.00094589,1
27,1pct,0.010,1427341973,1427389073,158,0.00996343,1
27,10pct,0.100,1427127773,1427602973,1585,0.09994955,1
27,50pct,0.500,1426176173,1428554573,7929,0.50000000,1
28,0.1pct,0.001,1427364473,1427368673,15,0.00094542,1
28,1pct,0.010,1427343173,1427390273,158,0.00995840,1
28,10pct,0.100,1427128973,1427604473,1586,0.09996218,1
28,50pct,0.500,1426176773,1428556373,7933,0.50000000,1
29,0.1pct+1pct+10pct,0.001|0.010|0.100,2,2,25449,0.19416046,10523
29,50pct,0.500,1,4,91150,0.69541931,9370
30,0.1pct+1pct,0.001|0.010,1238,1238,2393,0.01825714,3
30,10pct,0.100,1237,1470,40281,0.30731964,13
30,50pct,0.500,1111,2013,123058,0.93885803,6
31,0.1pct+1pct,0.001|0.010,1238,1238,2393,0.01825714,3
31,10pct,0.100,1237,1470,40281,0.30731964,13
31,50pct,0.500,1111,2013,123058,0.93885803,6
32,0.1pct+1pct+10pct,0.001|0.010|0.100,2,2,23482,0.17915344,15832
32,50pct,0.500,1,4,77502,0.59129333,14990
33,0.1pct+1pct+10pct,0.001|0.010|0.100,2,2,23482,0.17915344,15832
33,50pct,0.500,1,4,77502,0.59129333,14990
34,0.1pct,0.001,1704144021000000,1704144247000000,131,0.00099945,124
34,1pct,0.010,1704143125000000,1704145125000000,1311,0.01000214,589
34,10pct,0.100,1704135862000000,1704165616000000,13108,0.10000610,307
34,50pct,0.500,1704110351000000,1704201169000000,65536,0.50000000,880
35,0.1pct,0.001,1704144021000000,1704144247000000,131,0.00099945,124
35,1pct,0.010,1704143125000000,1704145125000000,1311,0.01000214,589
35,10pct,0.100,1704135862000000,1704165616000000,13108,0.10000610,307
35,50pct,0.500,1704110351000000,1704201169000000,65536,0.50000000,880
36,0.1pct,0.001,65318,65472,136,0.00103760,1
36,1pct,0.010,64709,66083,1316,0.01004028,1
36,10pct,0.100,58820,71969,13109,0.10001373,1
36,50pct,0.500,32546,97863,65543,0.50005341,1
37,0.1pct,0.001,65318,65472,136,0.00103760,1
37,1pct,0.010,64709,66083,1316,0.01004028,1
37,10pct,0.100,58820,71969,13109,0.10001373,1
37,50pct,0.500,32546,97863,65543,0.50005341,1
38,0.1pct,0.001,803779200,803952000,164,0.00125122,162
38,1pct,0.010,802742400,804988800,1423,0.01085663,1206
38,10pct,0.100,793065600,814406400,13142,0.10026550,4592
38,50pct,0.500,752025600,856310400,65587,0.50038910,9811
39,0.1pct,0.001,803779200,803952000,164,0.00125122,162
39,1pct,0.010,802742400,804988800,1423,0.01085663,1206
39,10pct,0.100,793065600,814406400,13142,0.10026550,4592
39,50pct,0.500,752025600,856310400,65587,0.50038910,9811
