pair,predicate,requested_selectivities,low,high,selected_rows,actual_selectivity,ranges
10,50pct,0.500,1381429200,1381615200,621,0.49959775,1
11,0.1pct,0.001,1413451800,1413468000,10,0.00096899,1
11,1pct,0.010,1413367200,1413550800,103,0.00998062,1
11,10pct,0.100,1412532000,1414387800,1032,0.10000000,1
11,50pct,0.500,1408816800,1418103000,5160,0.50000000,1
12,0.1pct,0.001,1440587460,1440589260,2,0.00080000,1
12,1pct,0.010,1440524580,1440597060,25,0.01000000,1
12,10pct,0.100,1440195480,1440786540,250,0.10000000,1
12,50pct,0.500,1438950600,1441647300,1250,0.50000000,1
13,0.1pct,0.001,1440593400,1440594000,2,0.00092507,1
13,1pct,0.010,1440585540,1440653160,21,0.00971323,1
13,10pct,0.100,1440364020,1440854460,216,0.09990749,1
13,50pct,0.500,1439289120,1441875000,1081,0.50000000,1
14,0.1pct,0.001,1442049960,1442050560,2,0.00084034,1
14,1pct,0.010,1442046060,1442054460,23,0.00966387,1
14,10pct,0.100,1441987440,1442094360,238,0.10000000,1
14,50pct,0.500,1441715220,1442306160,1190,0.50000000,1
15,0.1pct,0.001,1442020860,1442021760,2,0.00080000,1
15,1pct,0.010,1442012460,1442035860,25,0.01000000,1
15,10pct,0.100,1441969740,1442076660,250,0.10000000,1
15,50pct,0.500,1441398480,1442293800,1250,0.50000000,1
16,0.1pct,0.001,1442009160,1442009460,2,0.00080000,1
16,1pct,0.010,1442003760,1442017560,25,0.01000000,1
16,10pct,0.100,1441963920,1442073360,250,0.10000000,1
16,50pct,0.500,1441376220,1442297100,1250,0.50000000,1
17,0.1pct,0.001,1442224380,1442224380,1,0.00088731,1
17,1pct,0.010,1442222880,1442226480,11,0.00976043,1
17,10pct,0.100,1442164380,1442248500,112,0.09937888,1
17,50pct,0.500,1441976940,1442383740,563,0.49955634,1
18,0.1pct,0.001,1442020260,1442020560,2,0.00080160,1
18,1pct,0.010,1442011860,1442032860,24,0.00961924,1
18,10pct,0.100,1441969140,1442076060,249,0.09979960,1
18,50pct,0.500,1441398180,1442293260,1247,0.49979960,1
19,0.1pct,0.001,1427369873,1427374073,15,0.00094328,1
19,1pct,0.010,1427348273,1427395673,159,0.00999874,1
19,10pct,0.100,1427133773,1427610473,1590,0.09998742,1
19,50pct,0.500,1426179473,1428564473,7951,0.50000000,1
20,0.1pct,0.001,1427359373,1427363573,15,0.00094751,1
20,1pct,0.010,1427337773,1427384873,158,0.00998042,1
20,10pct,0.100,1427124173,1427598773,1583,0.09999368,1
20,50pct,0.500,1426174373,1428548573,7915,0.49996842,1
21,0.1pct,0.001,1427369873,1427374073,15,0.00094328,1
21,1pct,0.010,1427348273,1427395673,159,0.00999874,1
21,10pct,0.100,1427133773,1427610473,1590,0.09998742,1
21,50pct,0.500,1426179473,1428564473,7951,0.50000000,1
22,0.1pct,0.001,1427362673,1427366873,15,0.00094619,1
22,1pct,0.010,1427341073,1427388173,158,0.00996657,1
22,10pct,0.100,1427127173,1427602373,1585,0.09998108,1
22,50pct,0.500,1426175873,1428553373,7926,0.49996846,1
23,0.1pct,0.001,1427359673,1427363873,15,0.00094739,1
23,1pct,0.010,1427338073,1427385173,158,0.00997916,1
23,10pct,0.100,1427124473,1427599073,1583,0.09998105,1
23,50pct,0.500,1426174373,1428548873,7916,0.49996842,1
24,0.1pct,0.001,1427360873,1427365073,15,0.00094685,1
24,1pct,0.010,1427339573,1427386673,158,0.00997349,1
24,10pct,0.100,1427125673,1427600573,1584,0.09998738,1
24,50pct,0.500,1426174973,1428550973,7921,0.50000000,1
25,0.1pct,0.001,1427368673,1427372873,15,0.00094381,1
25,1pct,0.010,1427347073,1427394173,158,0.00994148,1
25,10pct,0.100,1427132573,1427608973,1589,0.09998112,1
25,50pct,0.500,1426178873,1428562373,7946,0.49996854,1
26,0.1pct,0.001,1427362373,1427366573,15,0.00094631,1
26,1pct,0.010,1427340773,1427387873,158,0.00996783,1
26,10pct,0.100,1427126873,1427602073,1585,0.09999369,1
26,50pct,0.500,1426175873,1428553073,7925,0.49996846,1
27,0.1pct,0.001,1427363273,1427367473,15,0.00094589,1
27,1pct,0.010,1427341973,1427389073,158,0.00996343,1
27,10pct,0.100,1427127773,1427602973,1585,0.09994955,1
27,50pct,0.500,1426176173,1428554573,7929,0.50000000,1
28,0.1pct,0.001,1427364473,1427368673,15,0.00094542,1
28,1pct,0.010,1427343173,1427390273,158,0.00995840,1
28,10pct,0.100,1427128973,1427604473,1586,0.09996218,1
28,50pct,0.500,1426176773,1428556373,7933,0.50000000,1
29,0.1pct+1pct+10pct,0.001|0.010|0.100,3,3,3720,0.22705078,1892
29,50pct,0.500,2,4,10088,0.61572266,1749
30,0.1pct+1pct+10pct,0.001|0.010|0.100,1111,1111,9353,0.57086182,5
30,50pct,0.500,1111,2013,13723,0.83758545,4
31,0.1pct+1pct+10pct,0.001|0.010|0.100,1111,1111,9353,0.57086182,5
31,50pct,0.500,1111,2013,13723,0.83758545,4
32,0.1pct+1pct,0.001|0.010,2,2,2904,0.17724609,2042
32,10pct,0.100,2,3,5412,0.33032227,2873
32,50pct,0.500,1,4,9943,0.60687256,1976
33,0.1pct+1pct,0.001|0.010,2,2,2904,0.17724609,2042
33,10pct,0.100,2,3,5412,0.33032227,2873
33,50pct,0.500,1,4,9943,0.60687256,1976
34,0.1pct,0.001,1704072435000000,1704072442000000,17,0.00103760,17
34,1pct,0.010,1704072387000000,1704072478000000,164,0.01000977,158
34,10pct,0.100,1704071936000000,1704072934000000,1639,0.10003662,1275
34,50pct,0.500,1704069905000000,1704075011000000,8195,0.50018311,2037
35,0.1pct,0.001,1704072435000000,1704072442000000,17,0.00103760,17
35,1pct,0.010,1704072387000000,1704072478000000,164,0.01000977,158
35,10pct,0.100,1704071936000000,1704072934000000,1639,0.10003662,1275
35,50pct,0.500,1704069905000000,1704075011000000,8195,0.50018311,2037
36,0.1pct,0.001,8193,8196,19,0.00115967,1
36,1pct,0.010,8128,8263,167,0.01019287,1
36,10pct,0.100,7361,8999,1645,0.10040283,1
36,50pct,0.500,4036,12294,8193,0.50006104,1
37,0.1pct,0.001,8193,8196,19,0.00115967,1
37,1pct,0.010,8128,8263,167,0.01019287,1
37,10pct,0.100,7361,8999,1645,0.10040283,1
37,50pct,0.500,4036,12294,8193,0.50006104,1
38,0.1pct,0.001,805593600,805680000,16,0.00097656,16
38,1pct,0.010,804556800,806803200,169,0.01031494,142
38,10pct,0.100,794707200,815443200,1641,0.10015869,586
38,50pct,0.500,753494400,856396800,8193,0.50006104,1212
39,0.1pct,0.001,805593600,805680000,16,0.00097656,16
39,1pct,0.010,804556800,806803200,169,0.01031494,142
39,10pct,0.100,794707200,815443200,1641,0.10015869,586
39,50pct,0.500,753494400,856396800,8193,0.50006104,1212
